id,x,y,邏輯樹,AbrahamsonEtAl2014,BooreAtkinson2008,CampbellBozorgnia2008,ChiouYoungs2008,LinLee2008SInter
1851,120.45916,23.33288,0.099814336,0.079691594,0.151266562,0.068639511,0.06119531,0.040764434
1852,120.45926,23.34187,0.069371622,0.074993158,0.086782267,0.055704652,0.056663127,0.039235491
1853,120.45936,23.35087,0.083986118,0.067901663,0.140198987,0.074693596,0.071186235,0.062882371
1854,120.45946,23.35986,0.07137943,0.076630151,0.09457081,0.064549087,0.051841485,0.077683501
1855,120.45956,23.36885,0.061535952,0.056370704,0.090709708,0.088557055,0.089468861,0.04983824
1856,120.45966,23.37785,0.095568667,0.066413719,0.114625115,0.068747783,0.062738492,0.07197754
1857,120.45976,23.38684,0.10777082,0.060166501,0.158790148,0.056128897,0.059876897,0.071003566
1858,120.45986,23.39583,0.085986263,0.054173789,0.113660885,0.078009082,0.052583737,0.100894837
1859,120.46538,23.00912,0.177363579,0.141531733,0.16926732,0.128792989,0.156016189,0.149566535
1860,120.46548,23.01812,0.171792412,0.186370376,0.130593267,0.13450862,0.121515787,0.15916941
1861,120.46558,23.02711,0.202414975,0.151062386,0.20689097,0.115828486,0.154853228,0.178146728
1862,120.46568,23.0361,0.168453039,0.158821627,0.160319096,0.150720728,0.11029867,0.150451904
1863,120.46578,23.0451,0.162612261,0.131425987,0.147488815,0.123046488,0.152170601,0.101248892
1864,120.46588,23.05409,0.159169576,0.139489146,0.159090586,0.111748962,0.221123907,0.195247532
1865,120.46597,23.06308,0.182234793,0.134209296,0.206696678,0.14235907,0.139397093,0.128990193
1866,120.46607,23.07208,0.168418905,0.171748884,0.121510571,0.094498558,0.092668181,0.14721349
1867,120.46617,23.08107,0.136242547,0.119913266,0.131681908,0.086717369,0.118519732,0.169983194
1868,120.46627,23.09006,0.135409504,0.094255234,0.155795361,0.091541611,0.084834702,0.114581381
1869,120.46637,23.09906,0.171957844,0.14660423,0.154569916,0.120543887,0.128891134,0.098783795
1870,120.46647,23.10805,0.157321326,0.172160084,0.115933376,0.103325121,0.092617448,0.155870399
1871,120.46657,23.11704,0.123364915,0.096390802,0.127420693,0.088757372,0.069921805,0.135393012
1872,120.46667,23.12604,0.117161303,0.098965821,0.134837497,0.085518104,0.08624657,0.113685236
1873,120.46676,23.13503,0.125645399,0.10871634,0.128020515,0.11162985,0.09633516,0.111948433
1874,120.46686,23.14402,0.100795734,0.098338199,0.098734922,0.11156043,0.088827655,0.099903558
1875,120.46696,23.15302,0.140438621,0.113967633,0.163026409,0.104108563,0.105005871,0.126769394
1876,120.46706,23.16201,0.115817629,0.107623843,0.124152344,0.085882626,0.118606954,0.108017902
1877,120.46716,23.171,0.110343132,0.087751238,0.131241079,0.092147091,0.075513442,0.074412036
1878,120.46726,23.18,0.098779169,0.069967591,0.138250864,0.075058591,0.081803852,0.136133964
1879,120.46736,23.18899,0.128637427,0.093602016,0.165604985,0.072438599,0.100653021,0.100885386
1880,120.46746,23.19798,0.106366106,0.076702641,0.142751717,0.088362951,0.098979804,0.113726791
1881,120.46756,23.20698,0.10995389,0.079267708,0.136974149,0.106324807,0.090928894,0.08229693
1882,120.46766,23.21597,0.096543618,0.07442979,0.116551072,0.073084346,0.077849168,0.122442511
1883,120.46776,23.22496,0.112751137,0.10322089,0.118859351,0.078827503,0.12604284,0.111687775
1884,120.46786,23.23396,0.101119908,0.093540123,0.10867734,0.050194374,0.068602092,0.065780957
1885,120.46796,23.24295,0.088774705,0.073160646,0.104216877,0.105278314,0.076513242,0.09913599
1886,120.46806,23.25194,0.101360593,0.079400497,0.128756308,0.076884146,0.07044307,0.091746347
1887,120.46816,23.26093,0.098267952,0.082819767,0.122861901,0.079040049,0.054581097,0.090083236
1888,120.46826,23.26993,0.080624553,0.070722519,0.101130613,0.075836878,0.088855576,0.071888663
1889,120.46836,23.27892,0.093207541,0.087070368,0.11216003,0.092403892,0.064182689,0.071586757
1890,120.46846,23.28791,0.086597919,0.090850188,0.098904452,0.076444239,0.055555942,0.07552976
1891,120.46856,23.29691,0.084825643,0.075125467,0.109457821,0.07120729,0.080402989,0.076377982
1892,120.46866,23.3059,0.078889383,0.060196699,0.117931829,0.052881622,0.081787505,0.069096509
1893,120.46876,23.31489,0.078389212,0.058879052,0.110399075,0.061042755,0.074201727,0.079619245
1894,120.46886,23.32389,0.094728996,0.086091598,0.131945695,0.101968319,0.054685558,0.052053611
1895,120.46896,23.33288,0.084184674,0.05612305,0.139772002,0.066115939,0.060876124,0.088107634
1896,120.46906,23.34187,0.080450348,0.087502366,0.097713268,0.048372903,0.05979765,0.063187539
1897,120.46916,23.35087,0.056888892,0.058152809,0.072372746,0.047291818,0.074524401,0.074381743
1898,120.46926,23.35986,0.079068052,0.067382346,0.117607926,0.053865764,0.063230223,0.070700605
1899,120.46936,23.36885,0.081463618,0.054580849,0.140898311,0.062415719,0.061127856,0.074649767
1900,120.46946,23.37785,0.104706991,0.058127614,0.134857669,0.0695339,0.068071215,0.081159855
1901,120.46956,23.38684,0.098461833,0.06477942,0.124102889,0.064660618,0.047896181,0.080508678
1902,120.46966,23.39583,0.100536686,0.080207623,0.105268712,0.059287779,0.071397963,0.073893593
1903,120.47515,23.00912,0.18929494,0.124080911,0.19641549,0.117488797,0.13465326,0.120538722
1904,120.47525,23.01812,0.200314335,0.155469195,0.164781877,0.117127777,0.160422254,0.164026403
1905,120.47535,23.02711,0.120117847,0.109164353,0.098462269,0.142997182,0.115248489,0.136089795
1906,120.47545,23.0361,0.134973972,0.141107529,0.108868457,0.109301434,0.091002379,0.193405126
1907,120.47555,23.0451,0.195615945,0.126879433,0.207548245,0.101749671,0.108930858,0.204235367
1908,120.47565,23.05409,0.139965849,0.122302255,0.126871654,0.106970553,0.107322371,0.118039773
1909,120.47575,23.06308,0.151678486,0.140694923,0.13268475,0.136031198,0.168621242,0.124090143
1910,120.47585,23.07208,0.152929399,0.112461142,0.148374992,0.090178939,0.080623928,0.152889981
